time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-01T01:53:32.960Z,-22.0385,-67.2102,169.03,4.7,mb,,34,1.675,0.96,us,us10003je7,2015-10-01T09:56:04.800Z,"142km NE of San Pedro de Atacama, Chile",earthquake
2015-10-01T00:26:56.010Z,-16.0683,-174.8299,265.92,4.5,mb,,67,3.648,0.71,us,us10003jdz,2015-10-01T08:29:33.553Z,"116km W of Hihifo, Tonga",earthquake
2015-10-01T00:04:58.480Z,-6.0467,103.7076,20.21,5.3,mwb,,19,3.276,0.93,us,us10003jdr,2015-10-01T08:07:26.559Z,"86km SSW of Biha, Indonesia",earthquake
2015-09-30T23:04:45.650Z,-30.4259,-72.0924,13.3,4.2,mb,,91,0.465,0.92,us,us10003jdk,2015-10-01T07:07:21.035Z,"87km WNW of Ovalle, Chile",earthquake
2015-09-30T22:59:45.430Z,-30.7603,-71.5248,37.22,4.4,mb,,69,0.128,0.83,us,us10003jdf,2015-10-01T07:02:13.977Z,"35km WSW of Ovalle, Chile",earthquake
2015-09-30T22:26:37.050Z,28.059,53.6657,10,4.2,mb,,51,3.845,0.73,us,us10003jdb,2015-10-01T06:29:09.071Z,"49km SSE of Jahrom, Iran",earthquake
2015-09-30T20:12:44.670Z,-31.7613,-72.1498,16.95,4.4,mb,,150,1.128,0.89,us,us10003jc5,2015-10-01T04:15:24.095Z,"94km W of Illapel, Chile",earthquake
2015-09-30T19:31:23.600Z,36.3694,-98.7227,5,2.9,ml,,91,,0.49,us,us10003jcc,2015-10-01T03:34:02.538Z,"24km WNW of Fairview, Oklahoma",earthquake
2015-09-30T18:42:21.980Z,36.2578,-97.2401,3.35,2.5,mb_lg,,55,0.438,0.48,us,us10003jm9,2015-10-01T22:30:15.102Z,"5km SE of Perry, Oklahoma",earthquake
2015-09-30T18:21:17.000Z,-30.638,-71.722,35.6,4.2,mwr,,,,0.84,us,us10003jb5,2015-10-01T02:24:03.651Z,"50km W of Ovalle, Chile",earthquake
2015-09-30T17:25:56.700Z,18.0938,-101.2835,64.7,5.5,mb,,67,1.545,1.01,us,us10003jb2,2015-10-02T03:59:01.000Z,"36km ESE of Tres Palos, Mexico",earthquake
2015-09-30T16:37:11.100Z,35.9688,-97.2133,7.155,2.6,ml,,82,,0.88,us,us10003jb6,2015-10-02T04:59:45.383Z,"4km NE of Langston, Oklahoma",earthquake
2015-09-30T16:06:52.770Z,-56.2386,-27.7209,106.33,5.7,mb,,53,5.382,1.11,us,us10003j3j,2015-10-01T02:56:44.000Z,"60km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-09-30T15:54:21.770Z,-17.8409,-178.6661,551.36,4.5,mb,,80,3.127,1.04,us,us10003j3i,2015-10-02T04:45:45.302Z,"260km SE of Lambasa, Fiji",earthquake
